Number,Question,Answer
11,"请回答以下单选题。要求只输出选项，不输出解释性文字：
怀疑半月板损伤时最精确、理想的辅助检查方法是：
A：X线检查，B：关节造影术，C：CT检查，D：B超，E：关节镜检查",E
12,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下述造成膝关节半月板损伤的必要因素哪项是不恰当的：
A：膝的旋转，B：膝的前后移动，C：膝的内收和外展，D：膝的挤压，E：膝的半屈",B
13,"请回答以下单选题。要求只输出选项，不输出解释性文字：
骨关节炎的主要病变是：
A：关节内化脓性感染，B：关节特异性炎症，C：关节软骨退变和继发性骨质增生，D：关节骨质疏松，E：骨与关节慢性疼痛",C
14,"请回答以下单选题。要求只输出选项，不输出解释性文字：
对于膝关节炎的叙述，正确的是：
A：负重较少，B：尽早行人工关节表面置换术，C：晚期可出现关节畸形，D：膝内翻时可行软组织松解，E：主要病变是关节滑膜的退行性变",C
15,"请回答以下单选题。要求只输出选项，不输出解释性文字：
轻中度骨关节炎的首选药物是：
A：布洛芬，B：双氯芬酸，C：阿司匹林，D：吲哚美辛，E：对乙酰氨基酚",E
16,"请回答以下单选题。要求只输出选项，不输出解释性文字：
膝关节骨性关节炎最初始的病理损害发生于：
A：关节软骨，B：关节滑膜，C：软骨下骨，D：十字韧带，E：关节囊",A
17,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关“骨关节炎”的论述，以下正确的是：
A：患病率随着年龄而增加，女性比男性多见，B：主要病理改变为软骨退行性变性和消失、骨赘形成，C：临床表现和X线变化往往不尽一致，D：血清类风湿因子阴性、血沉不增快、C反应蛋白不升高，X线片检查有助于诊断，E：以上都正确",E
18,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髌骨软骨软化症的病理改变最早发生于：
A：软骨深层，B：软骨表层，C：软骨边缘，D：滑膜，E：半月板",A
19,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列髌骨软骨软化症的治疗方法中，不可取的是：
A：理疗，B：局部封闭，C：确诊后首先考虑行手术治疗，D：服用消炎镇痛药，E：加强股四头肌锻炼",C
20,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关髌骨软骨软化症手术治疗的目的，下列错误的是：
A：切除异常的髌骨，去除病灶，B：改变髌股关节的力线，C：刮除髌骨关节软骨上较小的侵蚀病灶，D：增加髌骨在关节活动过程中的稳定性，E：髌骨关节软骨已完全破坏者，可切除髌骨",A
21,"请回答以下单选题。要求只输出选项，不输出解释性文字：
膝关节在伸屈时有摩擦感或半蹲试验阳性最可能的诊断是：
A：外侧半月板损伤，B：内侧半月板损伤，C：髌骨软骨软化症，D：关节内游离体，E：类风湿关节炎",C
22,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髌骨软骨软化症的治疗原则哪项是不恰当的：
A：非甾体类抗炎药，B：物理治疗，C：股四头肌锻炼，D：关节内封闭，E：一旦发现尽可能早手术治疗",E
23,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项不是髌骨脱位的高危因素：
A：股四头肌力量较差，B：前交叉韧带断裂，C：股骨滑车发育不良，D：高位髌骨，E：内侧髌股韧带断裂",B
24,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下指标能够提示髌骨脱位的是：
A：外侧髌股角开口向外，B：股骨髁间窝角：138°，C：髌股适合角：-6°，D：髌股指数＞1:1.6，E：髌股适合角：0°",D
25,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于髌骨脱位的治疗，下列说法错误的是：
A：急性髌骨脱位常采用闭合复位，B：尽快开始膝关节功能训练，C：对于单纯急性髌骨脱位，尤其是初次脱位患者般不考虑手术治疗，D：对于反复髌骨脱位以及伴有严重骨软骨损伤、韧带损伤的患者，可以考虑进行手术治疗，E：术后使用膝关节支具固定下肢3-6周",B
26,"请回答以下单选题。要求只输出选项，不输出解释性文字：
人工膝关节置换必定要切除的韧带：
A：前交叉韧带，B：后交叉韧带，C：内侧副韧带，D：外侧副韧带，E：髌韧带",A
27,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列哪个不是人工全膝关节置换术的适应症：
A：退行性膝关节骨性关节炎，B：类风湿关节炎的膝关节晚期病变，C：创伤性骨性关节炎，D：膝关节结核强直后，E：膝关节滑膜炎",E
28,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列辅助检查中，可显示盘状半月板的检查是哪一项：
A：CT造影，B：X线，C：CT，D：MRI，E：骨扫描",D
29,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于盘状半月板Hall分型，下列分型对应错误的是：
A：Ⅰ型：板状型，半月板均匀增厚，上下缘平行成板状，B：Ⅱ型：双凹型，为板状中心变薄的双凹盘型，C：Ⅲ型：楔形，外形和正常半月板相似，但大于正常者，D：Ⅳ型：顿挫型，介于正常与板状之间，E：Ⅵ型：以上各型伴撕裂",D
30,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋关节后脱位时患肢呈现的典型畸形是：
A：患肢缩短，髋关节呈屈曲、内收、内旋畸形，B：患肢缩短，髋关节呈屈曲、外展、外旋畸形，C：患肢增长，髋关节呈过伸畸形，D：患肢增长，髋关节呈外展、外旋畸形，E：髋关节呈过屈畸形",A
31,"请回答以下单选题。要求只输出选项，不输出解释性文字：
哪一项是髋关节脱位最多见的类型：
A：前脱位，B：后脱位，C：中心型脱位，D：合并髋臼骨折的脱位，E：合并股骨头骨折的脱位",B
32,"请回答以下单选题。要求只输出选项，不输出解释性文字：
治疗新鲜髋关节后脱位的措施，不应选择：
A：Aillis法手法复位，B：复位后持续皮牵引固定于伸直，外展位3～4周，C：早期进行股四头肌收缩活动及踝部功能锻炼，D：伤后3个月患肢不能负重，以免股骨头缺血坏死，E：即刻手术切开复位",E
33,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋关节后脱位下列临床表现不正确的是：
A：患肢延长，B：髋关节屈曲，C：髋关节内收，D：髋关节内旋，E：大粗隆上移",A
34,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋关节后脱位容易发生：
A：肱动脉损伤，B：腘动脉损伤，C：缺血性骨坏死，D：桡神经损伤，E：坐骨神经损伤",E
35,"请回答以下单选题。要求只输出选项，不输出解释性文字：
由于髋臼过度覆盖股骨头而引起的髋臼撞击症属于哪种撞击类型：
A：Cam型，B：Pincer型，C：混合型，D：Crowe I型，E：以上都不对",B
36,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋臼撞击症可能出现的临床表现有：
A：顽固的深层间歇性髋关节或腹股沟区疼痛，B：臀部疼痛或骶骨间区域疼痛，C：“C”字征，D：髋关节活动受限，E：以上症状均可出现",E
37,"请回答以下单选题。要求只输出选项，不输出解释性文字：
FADIR试验的检查方法：
A：屈髋90°，大腿外展，将股骨自外向内旋，B：屈髋90°，大腿内收，将股骨自内向外旋，C：屈髋90°，大腿内收，将股骨自外向内旋，D：伸髋90°，大腿外展，将股骨自外向内旋，E：屈髋45°，大腿内收，将股骨自外向内旋",C
38,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项不是髋关节撞击综合征关节镜手术的常用入路：
A：前外侧入路，B：前方入路，C：后外侧入路，D：后方入路，E：远端前外辅助入路",D
39,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项检查不能帮助诊断髋关节撞击综合征：
A：FADIR试验，B：FABER试验，C：后方撞击试验，D：研磨试验，E：内八字脚行走试验",D
40,"请回答以下单选题。要求只输出选项，不输出解释性文字：
成人股骨头坏死最常见的病因为：
A：长期大量使用或滥用肾上腺皮质激素，B：酒精中毒，C：肿瘤放射治疗，D：股骨颈骨折，E：创伤性髋关节后脱位",D
41,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列何种股骨颈骨折最容易发生股骨头坏死：
A：股骨头下骨折，B：经股骨颈骨折，C：经基底部股骨颈骨折，D：稳定性股骨颈骨折，E：不完全移位的股骨颈骨折",A
42,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于股骨头的血供正确的是：
A：股骨头圆韧带内的小凹动脉负担股骨头约60％的血供，B：股骨干的滋养血管升支阻断是股骨头坏死的主要原因，C：旋股内侧动脉供应股骨头4/5～2/3区域，D：旋髂浅动脉和旋股外侧动脉在股骨颈基底部组成动脉环，提供股骨头大部血供，E：以上都不对",C
43,"请回答以下单选题。要求只输出选项，不输出解释性文字：
哪支动脉损伤最易引起股骨头缺血坏死：
A：股圆韧带内的的小凹动脉，B：股骨干滋养动脉升支，C：旋股内侧动脉，D：旋股外侧动脉，E：以上任何一支动脉损伤均可引起坏死",C
44,"请回答以下单选题。要求只输出选项，不输出解释性文字：
股骨颈头下骨折最易并发：
A：缺血性骨坏死，B：创伤性关节炎，C：创伤性骨化，D：坐骨神经损伤，E：关节僵硬",A
45,"请回答以下单选题。要求只输出选项，不输出解释性文字：
65岁以上髋关节骨关节炎有明显疼痛和运动障碍者，治疗宜首选：
A：髋关节融合术，B：截骨术，C：人工关节置换术，D：关节清理术，E：钻孔减压术",C
46,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋骨关节炎首选影像学检查是：
A：平片检查，B：CT检查，C：MRI检查，D：关节造影，E：骨扫描",A
47,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋关节炎的非手术治疗方法有：
A：口服药物，B：关节内注射，C：加强髋关节及肌肉力量，D：物理治疗，E：以上均是",E
48,"请回答以下单选题。要求只输出选项，不输出解释性文字：
股骨头或髋臼小囊肿形成，关节间隙进行性狭窄，股骨头球形中度丧失，上述描述属于髋骨关节炎的T?nnis分级的哪一级别：
A：0，B：1，C：2，D：3，E：4",C
49,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列哪种情况适合进行全髋关节置换术：
A：希望保持活动的年轻骨关节炎患者，B：保守治疗效果较好的患者，C：盂唇损伤患者，D：髋关节末期退行性变化（骨关节炎）的老年患者，E：髋关节感染患者",D
50,"请回答以下单选题。要求只输出选项，不输出解释性文字：
用于诊断髋关节发育不良的标准是：
A：前后位骨盆X线片，B：超声，C：CT，D：MRI，E：髋关节镜",A
51,"请回答以下单选题。要求只输出选项，不输出解释性文字：
髋关节发育不良在X线上的Crowe 3级是指：
A：股骨头半脱位小于25%，B：股骨头半脱位25%~50%，C：股骨头半脱位50%~75%，D：股骨头半脱位75%~100%，E：股骨头完全脱位",D
52,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项关于髋关节发育不良的说法有误：
A：腹股沟区疼痛，B：疼痛与活动有关，C：起病隐匿，逐渐加重，D：大多数患者有髋关节发育不良或骨关节炎的家族史，E：髋关节发育不良在男性更常见",E
53,"请回答以下单选题。要求只输出选项，不输出解释性文字：
治疗髋臼发育不良的公认标准方法是：
A：保守治疗，B：髋臼周围截骨术，C：股骨头钻孔减压术，D：全髋关节置换术，E：髋关节镜手术",B
54,"请回答以下单选题。要求只输出选项，不输出解释性文字：
临界性髋臼发育不良的LCEA（外侧中心边缘角）的范围是多少：
A：小于15°，B：15°~20°，C：小于20°，D：20°~25°，E：大于25°",D
55,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关肩关节周围炎的说法，正确的是：
A：多见于青少年，B：发病急，病程约数周，C：晚间疼痛减轻，D：可见典型疼痛弧，E：具有自限性，多于1年内自愈",E
56,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肩周炎的临床特点为：
A：活动时疼痛、功能受限，B：静息时疼痛、功能受限，C：活动时疼痛、功能不受限，D：静息时无痛、功能受限，E：活动时无痛、功能受限",A
57,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肩周炎不正确的治疗方法是：
A：理疗，B：封闭，C：按摩，D：服用非甾体抗炎药，E：限制肩关节活动",E
58,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肩关节周围炎，下列哪项不正确：
A：好发于50岁左右的中老年人，B：能自愈，C：主要为肩痛，活动受限，D：常伴有手指麻木感，E：醋酸泼尼松龙局部封闭有效",D
59,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肩周炎，下列哪项不对：
A：多发生于40岁以上中老年人，B：为肩周肌、肌腱、滑囊、关节囊的慢性损伤性炎症，C：活动时疼痛，并牵涉到上臂，D：影响梳头、洗面和扣腰带，E：本病能自愈，且不留功能障碍",E
60,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肩袖损伤有什么症状：
A：肩部疼痛，活动时加重，B：肩部力量减弱，C：早期被动活动无明显受限，D：晚期被动活动受限，E：以上症状均可出现",E
61,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪块肌肉没有参与构成肩袖：
A：冈上肌，B：冈下肌，C：肩胛下肌，D：大圆肌，E：小圆肌",D
62,"请回答以下单选题。要求只输出选项，不输出解释性文字：
全层肩袖撕裂分类不正确的是：
A：小撕裂：<1cm，B：较小撕裂：1~2cm，C：中度撕裂：1~3cm，D：较大撕裂：3~5cm，E：巨大撕裂：≥5cm",B
63,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于部分肩袖撕裂的治疗方法，下列说法正确的是：
A：早期可采用非手术治疗，B：保守治疗失败，可以考虑行手术治疗，C：手术采取关节腔清理或部分撕裂的修复，取决于撕裂程度和患者的年龄及活动水平，D：若撕裂不超过50%，单纯肩峰成形术和关节腔清理术即可，E：以上均正确",E
64,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于如何改善大范围和巨大肩袖撕裂的术后效果，以下说法不正确的是：
A：充分的肩峰下减压，B：松解撕裂的肌腱及必要时重新选定肌腱的固定点，C：维持三角肌起点的完整，D：将撕裂的肌腱尽量清理干净，E：细心指导和分期康复训练",D
65,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肩峰下撞击的形成原因不包括：
A：肩关节解剖结构异常，B：肩袖损伤，C：肩关节不稳，D：肩部长期不活动，E：肩胛骨定位不良",D
66,"请回答以下单选题。要求只输出选项，不输出解释性文字：
哪项试验可以用于评估肩胛下肌腱病变：
A：Speed试验，B：Lift-off试验，C：Jobe试验，D：Yergason试验，E：撞击试验",B
67,"请回答以下单选题。要求只输出选项，不输出解释性文字：
患者上肢外展90°，前屈30°（与肩胛骨平面一致），内旋至拇指指向地面，这是什么检查方法：
A：Speed试验，B：Lift-off试验，C：Jobe试验，D：Yergason试验，E：撞击试验",C
68,"请回答以下单选题。要求只输出选项，不输出解释性文字：
Neer征阳性指：
A：肩关节前屈，肩大结节与肩峰前缘撞击诱发疼痛，B：手臂前屈90°后内旋导致疼痛，C：肘关节伸直，上肢抗阻屈曲时出现疼痛，D：外展上肢60°-120°之间的疼痛弧，E：上肢外展90°，前屈30°，内旋至拇指指向地面时出现疼痛",A
69,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项不是肩关节撞击综合征良好的预后因素：
A：年龄小，B：体重指数较低，C：功能状态较好，D：症状周期较长，E：MRI出现可逆变化",D
70,"请回答以下单选题。要求只输出选项，不输出解释性文字：
哪项是肩关节前脱位病人的首选治疗方法：
A：悬吊牵引，B：手术切开复位内固定，C：骨牵引，D：手法复位外固定，E：皮肤牵引",D
71,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肩关节脱位最多见的类型是：
A：前脱位，B：后脱位，C：下脱位，D：盂上脱位，E：中心型脱位",A
72,"请回答以下单选题。要求只输出选项，不输出解释性文字：
发生脱位率最高的关节是：
A：肩关节，B：肘关节，C：髋关节，D：膝关节，E：骶髂关节",A
73,"请回答以下单选题。要求只输出选项，不输出解释性文字：
新鲜肩关节前脱位常用的治疗方法是：
A：局麻下闭合复位，不需固定，立即开始肩关节功能锻炼，B：局麻下闭合复位，三角巾悬吊固定3周，固定期间活动患手及腕关节，C：臂丛阻滞麻醉下闭合复位，石膏外固定3周，固定期间活动患手及腕关节，D：全麻下切开复位，修复关节囊，术后立即开始肩关节功能锻炼，E：臂丛麻醉下切开复位，修复关节囊，术后三角巾外固定3周，活动患手及腕关节",B
74,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肩关节前脱位的常用复位方法是：
A：Hippocrates法，B：骨牵引复位法，C：切开复位法，D：Allis法，E：无需牵引，仅用旋转法",A
75,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列选项中，哪项不是跟腱断裂的诊断依据：
A：患足单独站立，足跟不能离开地面，B：患足不能主动跖屈，C：跟腱部可扪及凹陷，D：患足背屈范围超过健侧，E：在跑跳过程中，突感跟后部剧痛",B
76,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项是急性跟腱断裂的临床表现：
A：踝关节后方棒击感，B：行走困难，C：肿胀和淤青，D：听到或感觉到断裂时的“啪”声，E：以上均是",E
77,"请回答以下单选题。要求只输出选项，不输出解释性文字：
能够帮助诊断跟腱断裂的检查是：
A：前抽屉试验，B：内外翻应力试验，C：距骨倾斜试验，D：Thompson试验，E：Silfverskiold试验",D
78,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于急性跟腱断裂保守治疗原则，下列说法不正确的是：
A：受伤即时的治疗方案：石膏固定踝关节于极度跖屈位，限制背伸活动，避免负重，B：2周后评估：更换为可拆卸石膏或跟腱靴，踝关节跖屈20°位固定，C：4周后评估：评估跟腱连续性是否恢复，若跟腱断端没有靠拢，则建议手术治疗，D：8周后评估：评估跟腱连续性，开始物理治疗，脱掉跟腱靴进行非负重的肌肉力量练习，E：10周后评估：不再佩戴跟腱靴，继续进行物理治疗，穿带鞋跟的鞋负重行走",D
79,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列哪项保守治疗方法不推荐用于跟腱断裂的患者：
A：低强度激光治疗，B：冲击波治疗，C：激素注射治疗，D：血小板富集因子治疗，E：硝酸甘油贴片",C
80,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关踝部骨折的治疗方法，下列选项错误的是：
A：坚强内固定，B：踝穴不宜过大或过小，C：骨折解剖对位，D：反复整复，争取闭合复位，避免手术，E：早期功能锻炼",D
81,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于踝关节骨折，下列说法错误的是：
A：无移位骨折可行小腿石膏外固定，B：内翻骨折波及关节面1/2以上者宜手术治疗，C：手术固定必须坚强，以便早期功能锻炼，D：即使骨折固定牢固，下胫腓分离者仍需螺钉贯穿固定，E：开放性骨折经彻底清创后尽量采取手术内固定治疗",D
82,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于Lisfranc关节的Myserson改良分类，下列分型正确的是：
A：A型：包括全部5块跖骨的移位，伴有或不伴有第2跖骨基底骨折，B：B型：仅有一个关节保持完整，C：B1型：外侧移位，有时累及楔间或舟楔关节，D：B2型：内侧移位，可累及第一跖楔关节，E：C型：分离性损伤，C1型全部裂开，C2型部分裂开",A
83,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列哪项不是踝关节骨折的并发症：
A：假关节形成，B：畸形愈合，C：创伤性关节炎，D：Sudeck骨萎缩，E：血肿形成",E
84,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于踝关节骨折的急性期处理，下列说法错误的是：
A：局部冷敷，以减少局部的肿胀，B：患肢抬高，C：活动踝关节，防止关节僵硬，D：疼痛严重时，可口服止痛药，E：局部加压包扎",C
85,"请回答以下单选题。要求只输出选项，不输出解释性文字：
踝关节最薄弱、最容易损伤的外侧韧带是：
A：距腓前韧带，B：跟腓韧带，C：距腓后韧带，D：分歧韧带，E：距跟韧带",A
86,"请回答以下单选题。要求只输出选项，不输出解释性文字：
可以用于检查距腓前韧带是否撕裂的试验是：
A：内翻应力试验，B：外翻应力试验，C：前抽屉试验，D：后抽屉试验，E：倾斜试验",C
87,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项不是踝关节外侧副韧带的损伤因素：
A：既往扭伤史，B：过大的身高和体重，C：平足，D：先天性关节松弛，E：足的尺寸过小",E
88,"请回答以下单选题。要求只输出选项，不输出解释性文字：
患者坐位，检查者一手握住患者的小腿，另一手抓住患者足跟，施以内翻的力以促使距骨倾斜。这是什么试验：
A：内翻应力试验，B：外翻应力试验，C：前抽屉试验，D：后抽屉试验，E：距骨倾斜试验",E
89,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于足踝韧带损伤，下列选项错误的是：
A：急性损伤的患者会伴随肿胀、血肿和负重困难，B：慢性损伤的患者通常会有反复的踝关节不稳的病史，C：前外侧抽屉试验可以用于诊断三角韧带损伤，D：踝穴外旋应力位片有助于下胫腓联合不稳，E：大多数轻微韧带损伤可以通过功能位支具和早期康复治疗取得良好疗效",C
90,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肱骨外上髁炎的治疗措施中，下列不妥的是：
A：可将手腕通过肘关节用石膏托外固定，B：压痛点醋酸泼尼松龙注射，C：加强腕背伸抗阻运动练习，D：伸肌总腱起点剥离松解术，E：伸肌总腱起点神经血管束切除结扎术",C
91,"请回答以下单选题。要求只输出选项，不输出解释性文字：
预防网球肘复发的根本措施是：
A：肱骨外上髁痛点局部封闭，B：限制握拳伸腕动作，C：伸指总肌腱起点剥离松解，D：患肢制动，E：口服非甾体类抗炎药",B
92,"请回答以下单选题。要求只输出选项，不输出解释性文字：
较快控制网球肘症状的方法是：
A：肱骨外上髁痛点局部封闭，B：限制握拳伸腕动作，C：伸指总肌腱起点剥离松解，D：患肢制动，E：口服非甾体类抗炎药",A
93,"请回答以下单选题。要求只输出选项，不输出解释性文字：
治疗顽固性网球肘的方法是：
A：肱骨外上髁痛点局部封闭，B：限制握拳伸腕动作，C：伸指总肌腱起点剥离松解，D：患肢制动，E：口服非甾体类抗炎药",C
94,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肱骨外上髁炎，下列哪项体征是符合的：
A：Mills试验阳性，B：肘关节活动受限，C：肩关节外展受限，D：肩部疼痛、无活动受限，E：Finkelstein试验阳性",A
95,"请回答以下单选题。要求只输出选项，不输出解释性文字：
在治疗肱骨髁上骨折时，最应防止出现的畸形是：
A：肘外翻畸形，B：肘内翻畸形，C：向前成角畸形，D：旋转畸形，E：向后成角畸形",B
96,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肘关节损伤的后遗症，下列选项错误的是：
A：肘内翻畸形的发生率为9%~57%，内翻大于20°时即应手术矫形，B：肘关节骨化性肌的发生率儿童高于成年人，C：肘关节损伤后可继发尺神经炎，D：肘外翻达35°以上者应考虑手术治疗，E：创伤性骨化性肌炎与进行性骨化性肌炎不是一种疾病，发病部位与表现亦不相同",B
97,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肘关节内翻最常见的原因是：
A：先天性肘内翻畸形，B：肱骨内髁骨折复位不良，C：肱骨髁上骨折，D：陈旧性肘关节脱位，E：肱骨远端全骨骺分离",C
98,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肘关节内翻的治疗，下列说法错误的是：
A：肘关节功能训练，B：康复推拿，C：石膏固定矫形，D：截骨矫形术，E：植骨术",E
99,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于提携角，下列说法错误的是：
A：提携角：肱骨轴线与尺骨在肘关节平面的夹角补角，B：男性提携角正常范围：5°-10°，C：女性提携角正常范围：10°-15°，D：提携角减小为肘内翻畸形，E：提携角减小为肘外翻畸形",E
100,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肘关节脱位的特有体征是：
A：患肘肿痛、不能活动，B：以健侧手托患侧前臂，C：肘后三角关系正常，D：肘后三角关系异常，E：肘关节处于半伸直位",D
101,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关肘关节脱位的叙述错误的是：
A：肘脱位后肘后三角关系改变，B：肘后脱位多因间接暴力造成，C：可伴有侧方脱位，D：肘分裂型脱位少见，E：分裂型脱位不累及环状韧带",E
102,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肘后三角关系异常是哪种疾病的的特有体征：
A：桡骨小头半脱位，B：肘关节脱位，C：肘管综合征，D：肱骨外上髁炎，E：肘关节内翻",B
103,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肘关节后脱位的并发症哪项不正确：
A：正中神经损伤，B：关节强直，C：尺神经损伤，D：骨化性肌炎，E：Volkmann前臂缺血性李缩",B
104,"请回答以下单选题。要求只输出选项，不输出解释性文字：
肘关节脱位和骨折的临床鉴别要点是：
A：反常活动，B：肘部畸形，C：有外伤史，跌倒时手掌撑地，D：局部肿胀，功能障碍，E：肘部三角关系改变",E
105,"请回答以下单选题。要求只输出选项，不输出解释性文字：
小儿桡骨小头半脱位治疗方法是：
A：闭合复位，无须固定，B：闭合复位，小夹板固定，C：闭合复位，石膏外固定，D：闭合复位，外展架固定，E：切开复位",A
106,"请回答以下单选题。要求只输出选项，不输出解释性文字：
桡骨头半脱位多见于：
A：5岁以下的小儿，B：12-14岁的儿童，C：20-40岁的成年男性，D：20-40岁的成年女性，E：老年人",A
107,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下述不是桡骨小头半脱位发病因素的是：
A：桡骨小头未发育好，B：环状韧带薄弱，C：患肢前臂受牵引力后，桡骨头向远端滑移，D：环状韧带卡压在肱桡关节内，E：前臂旋转外力",E
