Number,Question,Answer
23,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 20-year-old female injured her right hip in a car accident. She has right hip pain, dares not move the right lower limb, and the limb presents with flexion, adduction, internal rotation, and shortening deformity. X-ray confirms hip dislocation. Which is the correct method for reduction:
A: Must be performed under general anesthesia or spinal anesthesia, B: Must be performed under X-ray fluoroscopy monitoring, C: Manual reduction can be performed without any anesthesia, D: Open reduction must be performed, E: Plaster external fixation for 2每3 weeks is required after successful reduction",A
24,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 20-year-old male basketball player suffered a hip impact during a game, followed by severe hip pain. Physical examination revealed a feeling of emptiness in the hip joint. The most likely diagnosis is:
A: Femoroacetabular impingement (FAI), B: Hip dislocation, C: Hip arthritis, D: Hip dysplasia, E: Avascular necrosis of the femoral head",B
25,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male football player suffered a hip dislocation after an injury during a match. Which of the following is NOT a clinical manifestation of hip dislocation:
A: Severe hip pain, B: Feeling of emptiness in the hip joint, C: Hip clicking/snapping, D: Limb shortening, E: Hip presenting in flexion, adduction, and internal rotation deformity",C
26,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male football player complains of hip pain after strenuous exercise. Physical examination reveals limited hip mobility and a positive FABER test. The most likely diagnosis is:
A: Femoroacetabular impingement (FAI), B: Avascular necrosis of the femoral head, C: Hip arthritis, D: Hip dysplasia, E: Hip dislocation",A
27,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female dance teacher complains of hip pain following dance training. MRI shows hip cartilage damage. Which of the following is NOT a clinical manifestation of femoroacetabular impingement (FAI):
A: Hip pain, B: Hip redness and swelling, C: Hip clicking/popping, D: Limited hip mobility, E: Hip locking",B
28,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female complains of hip pain, especially aggravated when going up and down stairs. Physical examination reveals limited internal rotation of the hip and a positive FABER test. The most likely diagnosis for this patient is:
A: Avascular necrosis of the femoral head, B: Hip dislocation, C: Hip arthritis, D: Hip dysplasia, E: Femoroacetabular impingement (FAI)",E
29,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female dance teacher complains of hip pain following dance training. Physical examination reveals limited hip mobility and a positive FABER test. Which of the following is NOT a treatment principle for femoroacetabular impingement (FAI):
A: Avoiding repetitive impingement movements, B: Immediate high-intensity rehabilitation training, C: Physical therapy and functional exercise, D: Surgical treatment when necessary, E: Oral anti-inflammatory and analgesic medication",B
30,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 63-year-old male, usually in good health, was hit by a car and has swelling and pain in the left hip. X-ray indicates: Left femoral neck subcapital fracture. The preferred treatment is:
A: Cannulated screw internal fixation, B: Lower limb skeletal traction, C: Hip spica cast fixation, D: Lower limb skin traction, E: Artificial femoral head replacement",E
31,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female underwent cannulated screw fixation for a left femoral neck subcapital fracture 10 months ago and began walking 3 months post-operatively. For the past 2 months, she has had significant left hip pain and cannot walk. X-ray shows uneven density of the left femoral head, though morphology is basically normal. The diagnosis should be:
A: Left hip tuberculosis, B: Traumatic arthritis, C: Septic arthritis, D: Avascular necrosis of the left femoral head, E: Femoral head tumor",D
32,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male has had right hip pain for half a day following a fall. X-ray shows a right femoral neck fracture, basocervical type, Garden type II. The preferred treatment plan is:
A: Right artificial femoral head replacement, B: Right total hip arthroplasty, C: Right hip arthrodesis, D: Cannulated screw fixation, E: Right lower limb skin traction for 8 weeks",D
33,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male with a history of long-term heavy alcohol consumption presents with dull pain in the inguinal region, aggravated by activity and relieved by rest. X-ray shows uneven density of the femoral head with cystic changes. The most likely diagnosis for this patient is:
A: Avascular necrosis of the femoral head, B: Hip arthritis, C: Hip dysplasia, D: Hip synovitis, E: Femoroacetabular impingement",A
34,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old male with a history of long-term steroid use complains of hip pain, especially severe when weight-bearing. MRI shows irregular low T1 and high T2 signals within the femoral head. Which of the following is NOT a clinical manifestation of avascular necrosis of the femoral head:
A: Pain in the inguinal region, B: Claudication, C: Limited joint mobility, D: Significant joint swelling, E: Leg length discrepancy",D
35,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 70-year-old male underwent trifin nail fixation for a femoral neck fracture 10 months ago, but still has pain during hip movement. X-ray shows increased density of the femoral head and unclear trabecular texture. This should be considered as:
A: Degenerative arthritis, B: Septic arthritis, C: Traumatic arthritis, D: Hip osteoarthritis, E: Joint tuberculosis",C
36,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 55-year-old female with hip osteoarthritis suffers from significant pain and movement disorders that severely affect her quality of life. The first choice should be:
A: Osteotomy, B: Artificial joint replacement, C: Joint debridement, D: Core decompression, E: Pharmacotherapy",B
37,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male complains of hip pain, especially aggravated after prolonged walking. Physical examination reveals mild hip swelling and no obvious tenderness. X-ray shows hip joint space narrowing. The most likely diagnosis for this patient is:
A: Femoroacetabular impingement, B: Avascular necrosis of the femoral head, C: Hip arthritis, D: Hip dysplasia, E: Hip dislocation",C
38,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old male complains of hip pain, especially aggravated after prolonged standing. Physical examination reveals mild hip swelling and no obvious tenderness. X-ray shows hip joint space narrowing. Which of the following is NOT a differential diagnosis for hip arthritis:
A: Femoroacetabular impingement, B: Avascular necrosis of the femoral head, C: Acetabular labrum injury, D: Hip dysplasia, E: Hip dislocation",E
39,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 67-year-old male has had bilateral hip pain for 10 years and claims a walking distance of only 100 meters. Hip arthritis is considered. Which of the following is the main X-ray manifestation of hip arthritis:
A: Uneven density of the femoral head with cystic changes, B: Uniform bone quality of the hip joint, C: Sacroiliac joint hyperplasia, D: Hip joint space narrowing and osteophyte formation, E: Poor match between acetabulum and femoral head, discontinuous Shenton line",D
40,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old female complains of hip pain when walking since childhood. Physical examination reveals a positive Trendelenburg sign. The most likely diagnosis is:
A: Femoroacetabular impingement, B: Avascular necrosis of the femoral head, C: Hip arthritis, D: Developmental dysplasia of the hip (DDH), E: Hip dislocation",D
41,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female complains of hip pain, aggravated especially when walking. Physical examination reveals mild flexion deformity of the hip. X-ray shows poor matching of the acetabulum and femoral head, and a discontinuous Shenton line. Which of the following is a treatment principle for hip dysplasia:
A: Early hip replacement surgery, B: Avoiding heavy physical labor and prolonged standing, C: Immediate high-intensity rehabilitation training, D: Long-term use of non-steroidal anti-inflammatory drugs, E: Intra-articular steroid injection",B
42,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old female dancer complains of hip pain, especially aggravated during external rotation. Physical examination reveals limited hip mobility. X-ray shows a shallow acetabulum and incomplete coverage of the femoral head. The most likely diagnosis for this patient is:
A: Hip synovitis, B: Hip dysplasia, C: Avascular necrosis of the femoral head, D: Femoroacetabular impingement, E: Labral injury",B
43,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female diagnosed with mixed cervical spondylosis 3 years ago without active treatment now has severe pain during left shoulder movement, cannot comb her hair, and has severely limited left shoulder abduction, extension, and external rotation. There is deltoid atrophy, and significant tenderness at the supraspinatus, long and short heads of the biceps tendon, and the lateral shoulder joint. The cause of the shoulder pain is:
A: Shoulder tumor, B: Scapulohumeral periarthritis (Frozen Shoulder), C: Cervical spondylosis, D: Shoulder joint tuberculosis, E: Rheumatoid arthritis",B
44,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male programmer recently developed limited shoulder mobility without obvious cause, with external rotation being significantly limited. Physical examination reveals a significantly reduced range of motion in the shoulder. The most likely diagnosis is:
A: Adhesive capsulitis, B: Rotator cuff injury, C: Shoulder impingement syndrome, D: Shoulder dislocation, E: Shoulder joint tuberculosis",A
45,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female has had right shoulder pain for 1 month and localized tenderness in the left shoulder. Left shoulder abduction, external rotation, and extension are limited. The diagnosis is:
A: Chondromalacia patellae, B: Cervical spondylosis, C: Lateral epicondylitis of the humerus, D: Frozen Shoulder, E: Stenosing tenosynovitis of the radial styloid",D
46,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old male complains of shoulder stiffness. Physical examination reveals limited active and passive shoulder movement. Which of the following is NOT a clinical manifestation of adhesive capsulitis:
A: Reduced range of shoulder motion, B: Shoulder pain, C: Significant swelling of the shoulder joint, D: Shoulder stiffness, E: Limited external rotation of the shoulder",C
47,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old male complains of shoulder stiffness. Physical examination reveals limited active and passive shoulder movement. Which of the following is a treatment principle for adhesive capsulitis:
A: Early cold compress, B: Shoulder brace fixation, C: Immediate high-intensity rehabilitation training, D: Physical therapy and functional exercise, E: Early surgical treatment",D
48,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female complains of shoulder pain, especially aggravated at night. Physical examination reveals weakness in shoulder abduction. MRI shows a partial rotator cuff tear. The most likely diagnosis for this patient is:
A: Shoulder arthritis, B: Rotator cuff injury, C: Shoulder impingement syndrome, D: Shoulder dislocation, E: Adhesive capsulitis",B
49,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 55-year-old female complains of shoulder pain, aggravated especially during external rotation. Physical examination reveals a complete rotator cuff tear. Which of the following is NOT a treatment principle for rotator cuff injury:
A: Early cold compress, B: Shoulder brace fixation, C: Oral anti-inflammatory and analgesic medication, D: Immediate high-intensity rehabilitation training, E: Selecting surgical or conservative treatment based on injury severity",D
50,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female dancer complains of shoulder pain, especially aggravated during abduction. Physical examination reveals a partial rotator cuff tear. Which of the following is NOT a differential diagnosis for rotator cuff injury:
A: Adhesive capsulitis, B: Rotator cuff injury, C: Shoulder impingement syndrome, D: Shoulder dislocation, E: Shoulder bursitis",D
51,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female complains of shoulder pain, especially aggravated when lifting the arm. Physical examination reveals a partial rotator cuff tear. Which of the following is NOT a typical clinical manifestation of rotator cuff injury:
A: Shoulder pain, B: Shoulder swelling, C: Weakness in shoulder abduction, D: Reduced range of shoulder motion, E: Weakness in lifting the upper limb",B
52,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female recently developed right shoulder pain, especially obvious during abduction and rotation of the shoulder, aggravated at night. The patient has a history of recurrent right shoulder trauma. Examination shows weakness in right shoulder abduction, a limp-like motion when lifting the shoulder, and a positive Neer impingement test. Which of the following statements is correct:
A: Rotator cuff injury mainly involves tearing of the shoulder joint capsule and ligaments, B: The main cause of rotator cuff injury is inflammation of the subacromial bursa, C: MRI is the preferred imaging method for diagnosing rotator cuff injury, D: Rotator cuff injury mainly occurs in young people, especially athletes, E: Treatment for rotator cuff injury should immediately involve open surgical repair",C
53,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male engaged in heavy physical labor complains of pain during shoulder abduction, especially aggravated when lifting the arm, with significant night pain affecting sleep. Examination reveals limited shoulder movement, significant tenderness in the subacromial area, and a positive painful arc test. Regarding shoulder impingement syndrome, which of the following descriptions is correct:
A: Shoulder impingement syndrome mainly affects the joint capsule tissue, B: This disease is common in young males, mainly caused by infection, C: Pain typically worsens during shoulder elevation and internal rotation, D: X-ray is the only imaging tool for diagnosing shoulder impingement syndrome, E: Surgery is the first-choice treatment for shoulder impingement syndrome",C
54,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male office worker presents with recurrent right shoulder pain located on the lateral aspect, aggravated especially during arm lifting, with dull pain at night. He recently started gym workouts, focusing on weightlifting. Physical examination reveals subacromial tenderness and aggravated pain during 90-degree shoulder abduction and internal rotation. The most likely diagnosis for this patient is:
A: Rotator cuff tear, B: Frozen shoulder, C: Subacromial impingement syndrome, D: Cervical spondylosis, E: Thoracic outlet syndrome",C
55,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male tennis coach presents with right shoulder pain located laterally, especially aggravated when lifting the arm to 90 degrees or higher. The doctor suspects shoulder impingement syndrome; Neer and Hawkins tests are positive. Besides physical examination, which of the following is most helpful for further confirming the diagnosis:
A: Ultrasound, B: MRI, C: X-ray, D: Electromyography (EMG), E: Electrocardiogram (ECG)",B
56,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 65-year-old female developed right shoulder pain after gardening and reported limited shoulder mobility when dressing or combing hair. The doctor suspects shoulder impingement syndrome. What is the preferred non-surgical treatment plan for this disease:
A: Physical therapy and non-steroidal anti-inflammatory drugs (NSAIDs), B: Steroid injection and rest, C: Acupuncture, D: Heat compress and rest, E: Arthroscopic surgery",A
57,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of shoulder pain, especially aggravated when lifting the arm. Physical examination reveals subacromial tenderness, and X-ray shows subacromial bone spur formation. The most likely diagnosis for this patient is:
A: Shoulder impingement syndrome, B: Shoulder dislocation, C: Adhesive capsulitis, D: Shoulder arthritis, E: Rotator cuff injury",A
58,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 4-year-old male child fell and complained of shoulder pain. Examination revealed the affected shoulder was drooping, movement of the affected limb was impaired, the head was tilted toward the affected side, and the Dugas sign was negative. The most likely diagnosis is:
A: Brachial plexus injury, B: Radial head subluxation, C: Clavicle fracture, D: Surgical neck fracture of the humerus, E: Shoulder dislocation",C
59,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 16-year-old male fell on an outstretched hand, with the shoulder in abduction and external rotation. He presents with shoulder pain, swelling, and limited movement. Physical examination shows a positive Dugas sign. The deformity of the patient's shoulder is:
A: Squared shoulder, B: Shoulder hyperextension/flexion, C: Excessive shoulder protrusion, D: Flexion, abduction, external rotation, E: Adduction, internal rotation",A
60,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male athlete developed severe pain after a shoulder injury. Physical examination reveals a positive Dugas sign. The most likely diagnosis is:
A: Shoulder impingement syndrome, B: Shoulder dislocation, C: Adhesive capsulitis, D: Shoulder arthritis, E: Rotator cuff injury",B
61,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male basketball player developed severe pain after a shoulder injury. Physical examination reveals a positive Dugas sign. Which of the following is NOT a clinical manifestation of shoulder dislocation:
A: Squared shoulder deformity, B: Shoulder pain, C: Shoulder locking, D: Elastic fixation of the shoulder, E: Positive Hamilton's ruler test (touching the opposite shoulder test)",C
62,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male developed severe pain after a shoulder injury. Physical examination reveals a positive Dugas sign. Which of the following is NOT a treatment principle for shoulder dislocation:
A: Immediate reduction, B: Cold compress on the shoulder, C: Shoulder brace fixation, D: Immediate high-intensity rehabilitation training, E: Consider surgery if reduction fails",D
63,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female dancer suddenly felt a sensation like being hit by a rod on the left heel when landing from a jump. The most likely diagnosis is:
A: Anterior talofibular ligament rupture, B: Achilles tendon rupture, C: Ankle fracture, D: Ankle synovitis, E: Ankle dislocation",B
64,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female complains of ankle pain, especially aggravated when walking. Physical examination reveals localized tenderness of the Achilles tendon and a positive Thompson test. The most likely diagnosis for this patient is:
A: Achilles tendon rupture, B: Ankle fracture, C: Ankle synovitis, D: Ankle dislocation, E: Ankle ligament rupture",A
65,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female had severe pain after her left heel was hit by a bicycle. She cannot actively plantarflex the left foot and cannot stand on tiptoe on one leg. The most likely diagnosis for this patient is:
A: Posterior talofibular ligament rupture, B: Achilles tendon rupture, C: Ankle fracture, D: Ankle synovitis, E: Ankle dislocation",B
66,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male suddenly felt pain like being hit in the back of the calf while playing badminton, followed by an inability to walk normally and limited foot movement. Examination revealed no obvious swelling of the right ankle, but a distinct depression in the lower right calf upon palpation. Which of the following is most likely consistent with the patient's condition:
A: Achilles tendon rupture is common in elderly patients and often occurs spontaneously, B: The typical manifestation of Achilles tendon rupture is painless limitation of ankle movement, C: Treatment for Achilles tendon rupture consists mainly of rest, without surgery, D: Patients with Achilles tendon rupture often feel severe pain at onset and require early intervention, E: Achilles tendon rupture mostly occurs in the adolescent population",D
67,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 26-year-old female experienced sudden severe heel pain while running, and a depression was palpable in the Achilles tendon area. The examination that can help diagnose this patient is:
A: Anterior drawer test, B: Varus/Valgus stress test, C: Talar tilt test, D: Thompson test, E: Silfverskiold test",D
68,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of left ankle pain for 3 days. X-ray shows an ankle fracture line. Which of the following is NOT a treatment principle for ankle fracture:
A: Anatomical reduction of the fracture, B: Early functional exercise, C: Long-term bed rest, D: Maintaining stability after reduction, E: Considering surgical treatment if reduction fails",C
69,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 38-year-old female has had right ankle pain for 2 days. X-ray shows an ankle fracture line. Which of the following is a clinical manifestation of ankle fracture:
A: Ankle instability, B: Ankle swelling, C: Ankle clicking, D: Ankle stiffness, E: Sensation of being hit in the ankle",B
70,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A male patient has had right ankle pain for 6 hours due to a fall, and an ankle fracture is considered. Which of the following examinations is the first choice for diagnosing ankle fracture:
A: MRI, B: X-ray, C: CT scan, D: Ultrasound, E: Radionuclide scan",B
