Number,Question,Answer
19,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，28岁，舞蹈演员，患者青年女性，有舞蹈训练背景，近一个月来反复出现膝关节脱位，体格检查发现J-sign阳性。J-sign阳性最可能提示以下哪种疾病：
A：交叉韧带损伤，B：髌骨软化，C：半月板损伤，D：髌骨脱位，E：侧副韧带损伤",D
20,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，16岁，排球运动员，剧烈运动后出现髌骨脱位，其临床表现不包括以下哪项：
A：膝关节脱位感，B：髌骨活动度增大，C：膝关节僵硬，D：可能发生自行复位，E：恐惧试验阳性",C
21,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，67岁，双膝关节痛、畸形5年，现只能忍痛行走100m。检查：O形腿，膝关节活动范围30°～60°，X线平片示双膝内侧关节间隙消失，股胫角190°。治疗首选：
A：卧床休息，保护患肢，B：关节内注射局麻药及类固醇激素，C：关节镜下膝关节清理，D：人工全膝关节置换，E：膝关节融合术",D
22,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，60岁，左膝重度关节炎，由于贴膏药致膝关节皮肤红肿，请问该患者的下一步处理：
A：进行人工全膝关节置换手术，B：关节内注射玻璃酸钠，C：卧床休息，冰敷膝关节，D：加强功能锻炼，E：继续涂抹膏药",C
23,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，20岁，车祸伤及右髋部，右髋疼，不敢活动右下肢，右下肢呈屈曲、内收、内旋和短缩畸形，经拍片诊断为髋关节脱位，哪项是复位时的正确方法：
A：必须在全麻或椎管内麻醉下行手法复位，B：必须在X线透视监视下进行复位，C：不需行任何麻醉即可手法复位，D：必须切开复位，E：复位成功后必须行石膏外固定2～3周",A
24,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，20岁，篮球运动员，比赛中髋关节受到撞击后出现髋关节剧痛，查体发现髋关节空虚感，最可能的诊断是：
A：髋关节撞击综合征，B：髋关节脱位，C：髋关节炎，D：髋关节发育不良，E：股骨头坏死",B
25,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，25岁，足球运动员，比赛中受伤后出现髋关节脱位，以下哪项不是髋关节脱位的临床表现：
A：髋关节剧痛，B：髋关节空虚感，C：髋关节弹响，D：肢体缩短，E：髋关节呈屈曲、内收、内旋畸形",C
26,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，25岁，足球运动员，主诉在剧烈运动后出现髋关节疼痛，查体发现髋关节活动受限，FABER试验阳性。最可能的诊断是：
A：髋关节撞击综合征，B：股骨头坏死，C：髋关节炎，D：髋关节发育不良，E：髋关节脱位",A
27,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，30岁，舞蹈老师，主诉在舞蹈训练后出现髋关节疼痛，MRI显示髋关节软骨损伤。以下哪项不是髋关节撞击综合征的临床表现：
A：髋关节疼痛，B：髋关节红肿，C：髋关节弹响，D：髋关节活动受限，E：髋关节交锁",B
28,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，40岁，主诉髋关节疼痛，尤其在上下楼梯时加重。查体发现髋关节内旋受限，FABER试验阳性。该患者最可能的诊断是：
A：股骨头坏死，B：髋关节脱位，C：髋关节炎，D：髋关节发育不良，E：髋关节撞击综合征",E
29,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，30岁，舞蹈老师，主诉在舞蹈训练后出现髋关节疼痛，查体发现髋关节活动受限，FABER试验阳性。以下哪项不是髋关节撞击综合征的诊疗原则：
A：避免重复性撞击动作，B：立即进行高强度康复训练，C：物理治疗和功能锻炼，D：必要时手术治疗，E：口服消炎、止痛药物",B
30,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，63岁，平素体健，被车撞伤，左髋部肿痛。拍片提示：左股骨颈头下型骨折，治疗首选：
A：空心钉内固定，B：下肢骨牵引，C：髋人字石膏托固定，D：下肢皮牵引，E：人工股骨头置换术",E
31,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，45岁，10月前因左股骨颈头下型骨折行空心钉固定术，术后3月下地行走。近2月来，左髋疼痛明显，不能行走，X线片示左股骨头密度高低不均，形态基本正常，诊断应为：
A：左髋关节结核，B：创伤性关节炎，C：化脓性关节炎，D：左股骨头缺血性坏死，E：股骨头肿瘤",D
32,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，45岁，摔伤后右髋疼痛半天，拍片示右股骨颈骨折，基底型，GardenⅡ型，首选的治疗方案为：
A：右人工股骨头置换术，B：右全髋关节置换术，C：右髋关节融合术，D：空心钉固定术，E：右下肢皮牵引8周",D
33,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，长期大量饮酒，近期出现腹股沟区隐痛，活动后加重，休息后缓解。X线片显示股骨头密度不均匀，有囊性变。该患者最可能的诊断是：
A：股骨头坏死，B：髋关节炎，C：髋关节发育不良，D：髋关节滑膜炎，E：髋关节撞击综合征",A
34,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，50岁，有长期使用激素史，主诉髋关节疼痛，尤其是负重时疼痛加剧。MRI显示股骨头内有不规则的T1低信号和T2高信号。以下哪项不是股骨头坏死的临床表现：
A：腹股沟区疼痛，B：跛行，C：关节活动受限，D：关节肿胀明显，E：双下肢不等长",D
35,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，70岁。10月前因股骨颈骨折，行三刃钉固定术，髋关节活动仍有疼痛。X线片示股骨头密度增高，纹理不清，应考虑为：
A：老年退行性关节炎，B：化脓性关节炎，C：创伤性关节炎，D：髋骨关节炎，E：关节结核",C
36,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，55岁，髋关节骨关节炎，有明显疼痛和运动障碍，严重影响生活质量，应首选：
A：截骨术，B：人工关节置换术，C：关节清理术，D：钻孔减压术，E：药物治疗",B
37,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，主诉髋关节疼痛，尤其在长时间行走后加重，查体发现髋关节轻度肿胀，无明显压痛。X光片显示髋关节间隙狭窄。该患者最可能的诊断是：
A：髋关节撞击综合征，B：股骨头坏死，C：髋关节炎，D：髋关节发育不良，E：髋关节脱位",C
38,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，50岁，主诉髋关节疼痛，尤其在长时间站立后加重。查体发现髋关节轻度肿胀，无明显压痛。X光片显示髋关节间隙狭窄。以下哪项不是髋关节炎的鉴别诊断：
A：髋关节撞击综合征，B：股骨头坏死，C：盂唇损伤，D：髋关节发育不良，E：髋关节脱位",E
39,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，67岁，双髋疼痛10年，自述行走距离仅百米，考虑诊断髋关节炎，以下哪项是髋关节炎的X光片的主要表现：
A：股骨头密度不均匀，有囊性变，B：髋关节骨质均匀，C：骶髂关节增生，D：髋关节间隙狭窄，骨赘形成，E：髋臼与股骨头匹配不良，Shenton线不连续",D
40,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，25岁，主诉自幼行走时髋关节疼痛，查体发现Trendelenburg征阳性。最可能的诊断是：
A：髋关节撞击综合征，B：股骨头坏死，C：髋关节炎，D：髋关节发育不良，E：髋关节脱位",D
41,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，30岁，主诉髋关节疼痛，尤其行走时疼痛加剧，查体发现髋关节有轻度屈曲畸形。X线片显示髋臼与股骨头匹配不良，Shenton线不连续。以下哪项是髋关节发育不良的诊疗原则：
A：早期进行髋关节置换术，B：避免重体力劳动和长时间站立，C：立即进行高强度康复训练，D：长期使用非甾体抗炎药，E：关节内注射激素",B
42,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，25岁，舞蹈演员，主诉髋关节疼痛，尤其外旋时疼痛加剧，查体发现髋关节活动受限。X线片显示髋臼浅，股骨头覆盖不全。该患者最可能的诊断是：
A：髋关节滑膜炎，B：髋关节发育不良，C：股骨头坏死，D：髋关节撞击综合征，E：盂唇损伤",B
43,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，45岁，确诊为混合型颈椎病3年，未予积极治疗，左肩关节活动时疼痛剧烈，不能梳头，左肩外展、后伸、外旋严重受限，三角肌萎缩，冈上肌、肱二头肌长短头肌腱及肩关节外侧均有明显压痛。肩痛的原因是：
A：肩部肿瘤，B：肩周炎，C：颈椎病，D：肩关节结核，E：风湿性关节炎",B
44,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，45岁，程序员，近期无明显诱因出现肩关节活动受限，尤以外旋受限明显，查体发现肩关节活动范围明显减小。最可能的诊断是：
A：粘连性关节囊炎，B：肩袖损伤，C：肩关节撞击综合征，D：肩关节脱位，E：肩关节结核",A
45,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，50岁，右肩痛1个月，左肩局限性压痛。左肩外屈外旋，后伸活动受限，其诊断是：
A：髌骨软化，B：颈椎病，C：肱骨外上髁炎，D：肩周炎，E：桡骨茎突狭窄性腱鞘炎",D
46,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，50岁，主诉肩部僵硬，查体发现肩关节主动和被动活动均受限。以下哪项不是粘连性关节囊炎的临床表现：
A：肩关节活动范围减小，B：肩关节疼痛，C：肩关节肿胀明显，D：肩关节僵硬，E：肩关节外旋受限",C
47,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，50岁，主诉肩部僵硬，查体发现肩关节主动和被动活动均受限。以下哪项是粘连性关节囊炎的治疗原则：
A：早期冷敷，B：肩部支具固定，C：立即进行高强度康复训练，D：物理治疗和功能锻炼，E：早期进行手术治疗",D
48,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，50岁，主诉肩部疼痛，尤其在夜间加重，查体发现肩关节外展无力。MRI显示肩袖部分撕裂。该患者最可能的诊断是：
A：肩关节炎，B：肩袖损伤，C：肩关节撞击综合征，D：肩关节脱位，E：粘连性关节囊炎",B
49,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，55岁，主诉肩部疼痛，尤其在外旋时疼痛加剧，查体发现肩袖完全撕裂。以下哪项不是肩袖损伤的治疗原则：
A：早期冷敷，B：肩部支具固定，C：口服抗炎、止痛药物，D：立即进行高强度康复训练，E：根据损伤程度选择手术或保守治疗",D
50,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，30岁，舞蹈演员，主诉肩部疼痛，尤其外展时疼痛加剧，查体发现肩袖部分撕裂。以下哪项不是肩袖损伤的鉴别诊断：
A：粘连性关节囊炎，B：肩袖损伤，C：肩关节撞击综合征，D：肩关节脱位，E：肩关节滑囊炎",D
51,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，40岁，主诉肩部疼痛，尤其在手臂上举时加重，查体发现肩袖部分撕裂。以下哪项不是肩袖损伤的典型临床表现：
A：肩关节疼痛，B：肩关节肿胀，C：肩关节外展无力，D：肩关节活动范围减小，E：上肢上抬无力",B
52,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，50岁，近期出现右肩疼痛，尤其在外展及旋转肩关节时疼痛明显，夜间疼痛加重。该患者既往有右肩反复外伤史。体检显示，右肩外展无力，抬肩时有跛行现象，Neer撞击测试阳性。以下哪项说法是正确的：
A：肩袖损伤主要涉及肩关节囊及韧带撕裂，B：肩袖损伤的主要病因是肩峰下滑囊发炎，C：MRI是诊断肩袖损伤的首选影像学检查方法，D：肩袖损伤主要出现在年轻人群中，特别是运动员，E：肩袖损伤的治疗应立即行开放手术修复",C
53,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，平时从事重体力劳动。因上举肩关节活动时感到疼痛前来就诊，尤其在做抬臂动作时疼痛加剧，夜间疼痛明显，影响睡眠。体检发现肩关节活动受限，肩峰下区压痛明显，疼痛弧测试阳性。以下关于肩关节撞击综合征的描述，哪一项是正确的：
A：肩关节撞击综合征主要影响肩关节的关节囊组织，B：此病常见于年轻男性，主要由于感染引起，C：疼痛通常在抬肩和内旋时加重，D： X线是诊断肩关节撞击综合征的唯一影像学工具，E：手术是肩关节撞击综合征的首选治疗方案",C
54,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，办公室白领，因右肩反复疼痛来就诊，疼痛在肩膀外侧，尤其在进行抬手动作时加重，并且夜间也会有隐痛。他最近开始健身，主要以举重为主。医生体格检查时发现其肩峰下压痛，执行肩关节90度外展及内旋时疼痛加剧。该患者最可能的诊断是：
A：肩袖撕裂，B：冻结肩，C：肩峰下撞击综合征，D：颈椎病，E：胸廓出口综合征",C
55,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，45岁，网球教练，因右肩部疼痛来就诊，患者描述其疼痛在肩外侧，尤其是手臂抬高至90度或更高时加重。医生怀疑肩关节撞击综合征，并进行了Neer撞击试验和Hawkins试验，均呈阳性。除了体格检查外，以下哪项检查最有助于进一步确诊该患者的肩关节撞击综合征：
A：超声检查，B：MRI检查，C：X线片，D：肌电图（EMG），E：心电图",B
56,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，65岁，在园艺活动后出现右肩疼痛，并表示在穿衣服或梳头时感到肩部活动受限。医生怀疑肩关节撞击综合征。对于该疾病的治疗，首选的非手术治疗方案是什么：
A：物理治疗和非甾体抗炎药，B：类固醇注射和休息，C：针灸治疗，D：热敷和静养，E：关节镜手术",A
57,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，主诉肩部疼痛，尤其在手臂上举时加重，查体发现肩峰下压痛，X线片显示肩峰下骨刺形成。该患者最可能的诊断是：
A：肩关节撞击综合征，B：肩关节脱位，C：粘连性关节囊炎，D：肩关节炎，E：肩袖损伤",A
58,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患儿男性，4岁，摔倒后肩部疼痛。检查发现患肩下沉，患肢活动障碍，头向患侧偏斜，杜加（Dugas）征阴性。最可能的诊断是：
A：臂丛神经损伤，B：桡骨小头半脱位，C：锁骨骨折，D：肱骨外科颈骨折，E：肩关节脱位",C
59,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，16岁，跌倒后手掌撑地，肩外展外旋，出现肩痛，肿胀，活动受限。体检Dugas征阳性。该病人肩部的畸形是：
A：方肩，B：肩过度后伸屈曲，C：肩过度膨隆，D：屈曲外展，外旋，E：内收，内旋",A
60,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，运动员，肩部受伤后出现剧烈疼痛，查体发现Dugas征阳性。最可能的诊断是：
A：肩关节撞击综合征，B：肩关节脱位，C：粘连性关节囊炎，D：肩关节炎，E：肩袖损伤",B
61,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，25岁，篮球运动员，肩部受伤后出现剧烈疼痛，查体发现肩关节Dugas征阳性。以下哪项不是肩关节脱位的临床表现：
A：方肩畸形，B：肩关节疼痛，C：肩关节交锁，D：肩关节弹性固定，E：搭肩试验阳性",C
62,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，肩部受伤后出现剧烈疼痛，查体发现Dugas征阳性。以下哪项不是肩关节脱位的治疗原则：
A： 立即复位，B：肩部冷敷，C：肩部支具固定，D：立即进行高强度康复训练，E：复位不成功，考虑手术治疗",D
63,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，40岁，舞蹈演员，跳跃落地时突感左后脚跟有棒击感。最可能的诊断是：
A：距腓前韧带断裂，B：跟腱断裂，C：踝关节骨折，D：踝关节滑膜炎，E：踝关节脱位",B
64,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，45岁，主诉踝关节疼痛，尤其在行走时加重，查体发现跟腱局部压痛，Thompson测试阳性。该患者最可能的诊断是：
A：跟腱断裂，B：踝关节骨折，C：踝关节滑膜炎，D：踝关节脱位，E：踝关节韧带断裂",A
65,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，30岁，被自行车撞伤左脚后跟后剧烈疼痛，左脚不能主动跖屈，单脚站立时无法踮脚。该患者最可能的诊断是：
A：距腓后韧带断裂，B：跟腱断裂，C：踝关节骨折，D：踝关节滑膜炎，E：踝关节脱位",B
66,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，45岁，打羽毛球时突然感到小腿后侧像被击中一样疼痛，随后无法正常行走，足部活动受限，检查发现右脚踝无明显肿胀，但触诊时右小腿下端出现明显凹陷。下列哪项最可能与该患者的病情符合：
A：跟腱断裂常见于老年患者，且自发发生较多，B：跟腱断裂的典型表现是无痛性踝关节活动受限，C：跟腱断裂后的治疗以静养为主，无需手术，D：跟腱断裂的患者在发病时常感到剧烈疼痛，需早期干预，E：跟腱断裂多发生于青少年群体",D
67,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，26岁，跑步时突发足后跟剧烈疼痛，跟腱部可扪及凹陷，能够帮助该患者诊断的检查是：
A：前抽屉试验，B：内外翻应力试验，C：距骨倾斜试验，D：Thompson试验，E：Silfverskiold试验",D
68,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，主诉左踝疼痛3天，X线片显示踝关节骨折线。以下哪项不是踝关节骨折的治疗原则：
A： 骨折解剖复位，B：早期功能锻炼，C：长期卧床休息，D：维持复位后稳定，E：复位失败时，考虑手术治疗",C
69,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，38岁，右侧踝关节疼痛2天，X线片显示踝关节骨折线。以下哪项是踝关节骨折的临床表现：
A：踝关节不稳，B：踝关节肿胀，C：踝关节弹响，D：踝关节僵硬，E：踝关节击打感",B
70,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，因摔伤致右踝疼痛6小时，考虑踝关节骨折。以下哪项检查是踝关节骨折的首选诊断方法：
A：MRI检查，B：X线片，C：CT扫描，D：B超，E：核素扫描",B
71,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，32岁，踢足球时扭伤脚踝，受伤后出现剧烈疼痛，无法站立，踝关节明显肿胀，足部变形。X光片显示距骨和腓骨间有清晰的骨折线。关于踝关节骨折，下列哪项描述是正确的：
A：踝关节骨折通常无需手术治疗，保守治疗即可恢复，B：踝关节骨折常伴有软组织损伤，手术后康复训练很重要，C：踝关节骨折多为老年患者骨质疏松引起的自发性骨折，D：踝关节骨折的治疗一般不需要石膏固定，E：踝关节骨折的恢复期为1-2周即可",B
72,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，48岁，因外伤致左踝骨折，下列有关踝部骨折的治疗方法，下列选项错误的是：
A：坚强内固定，B：踝穴不宜过大或过小，C：骨折解剖对位，D：早期功能锻炼，E：反复整复，争取闭合复位，避免手术",E
73,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，篮球运动员，比赛中出现扭伤，突感踝关节剧烈疼痛，随后肿胀明显，查体发现踝关节活动受限。最可能的诊断是：
A：距腓前韧带断裂，B：跟腱断裂，C：踝关节骨折，D：踝关节滑膜炎，E：踝关节脱位",A
74,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，30岁，主诉下楼梯时踩空扭伤左踝，左踝外侧疼痛，跑步时加重，查体发现外踝压痛。最可能的诊断是：
A：距腓前韧带断裂，B：跟腱断裂，C：踝关节骨折，D：踝关节滑膜炎，E：踝关节脱位",A
75,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，25岁，足球运动员，比赛中受伤，查体发现踝关节前抽屉试验阳性。最可能的诊断是：
A：距腓前韧带断裂，B：距腓韧带断裂，C：距腓后韧带断裂，D：跟腓韧带断裂，E：踝关节脱位",A
