Number,Question,Image_path,Answer
47,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/47.PNG,C
48,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：后交叉韧带损伤",knee/48.PNG,E
49,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/49.PNG,B
50,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/50.PNG,A
51,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：外侧副韧带损伤 
D：前交叉韧带断裂
E：内侧副韧带断裂",knee/51.BMP,B
52,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/52.PNG,E
53,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：后交叉韧带损伤",knee/53.PNG,E
54,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/54.PNG,B
55,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/55.PNG,E
56,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/56.PNG,C
57,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/1.JPG,A
58,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：髋关节盂唇损伤
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/2.JPG,B
59,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/3.JPG,C
60,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：髋关节盂唇损伤
E：髋关节脱位",hip/4.JPG,D
61,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：髋关节盂唇损伤",hip/5.JPG,E
62,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/6.JPG,A
63,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：髋关节盂唇损伤
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/7.JPG,B
64,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/8.JPG,C
65,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：髋关节盂唇损伤
E：髋关节脱位",hip/9.JPG,D
66,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：髋关节盂唇损伤",hip/10.JPG,E
67,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/11.JPG,A
68,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：髋关节盂唇损伤
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/12.JPG,B
69,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/13.JPG,C
70,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：髋关节盂唇损伤
E：髋关节脱位",hip/14.JPG,D
71,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：髋关节盂唇损伤",hip/15.JPG,E
72,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/16.JPG,A
73,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨干骨折
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/17.PNG,C
74,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：股骨干骨折
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/18.PNG,D
75,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：股骨干骨折 
D：髋关节脱位
E：股骨头坏死",hip/19.PNG,E
76,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：股骨干骨折
E：髋关节脱位",hip/20.PNG,A
77,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：股骨干骨折",hip/21.PNG,B
78,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨干骨折
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/22.PNG,C
79,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/23.PNG,A
80,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：髋关节盂唇损伤
E：髋关节脱位",hip/24.PNG,B
81,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：髋关节盂唇损伤",hip/25.PNG,C
82,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/26.PNG,D
83,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：髋关节盂唇损伤
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/27.PNG,E
84,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋骨关节炎
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/28.PNG,A
85,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：股骨干骨折
C：髋关节脱位 
D：股骨头坏死
E：髋关节盂唇损伤",hip/29.PNG,D
86,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：股骨颈骨折
C：股骨干骨折
D：髋关节脱位 
E：髋骨关节炎",hip/30.PNG,E
87,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨干骨折
B：股骨转子间骨折
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/31.PNG,C
88,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：股骨干骨折
C：股骨转子间骨折 
D：股骨头坏死
E：髋关节发育不良",hip/32.PNG,E
89,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：股骨干骨折 
D：股骨转子间骨折
E：股骨头坏死",hip/33.JPG,B
90,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：股骨干骨折
E：股骨转子间骨折",hip/34.JPG,C
91,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨假体周围骨折
E：股骨干骨折",hip/35.JPG,D
