Number,question,image_path,MiniCPM-V-2.6,Llama-3.2-Vision,GLM-4v-9B,Qwen2-VL,GPT_4o,Gemini-3.1-Pro,Qwen3.5-35b-a3b,GPT-5.2
23,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/23.png,1,1,1,1,1,1,1,1
24,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/24.png,1,0,1,1,1,1,1,1
25,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/25.png,1,1,1,1,1,1,1,1
26,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/26.png,1,1,1,0,1,1,1,1
27,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/27.png,1,0,1,1,1,1,1,1
28,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/28.png,1,1,1,1,1,1,1,1
29,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/29.png,1,1,1,1,1,1,1,1
30,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/30.png,1,1,1,0,1,1,1,1
31,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/31.jpg,1,1,1,1,1,1,1,1
32,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/32.jpg,1,0,1,1,1,1,1,1
33,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/33.jpg,1,0,1,1,1,1,1,1
34,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/34.jpg,1,0,1,1,1,1,1,1
35,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/35.jpg,0,1,1,1,1,1,1,1
36,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/36.png,1,1,1,1,1,1,1,1
37,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/37.jpg,1,0,1,1,1,1,1,1
38,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/38.jpg,1,0,1,1,1,1,1,1
39,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/39.png,1,0,1,1,1,1,1,1
40,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/40.png,1,0,1,1,1,1,1,1
41,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/41.png,1,0,1,1,1,1,0,1
42,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/42.png,1,0,1,1,1,1,1,1
43,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/43.png,1,1,1,1,1,0,1,1
44,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/44.png,1,1,1,1,1,1,1,1
45,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/45.png,1,0,1,1,1,0,1,1
46,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/46.png,1,0,1,1,1,1,1,1
47,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/47.png,1,1,1,1,1,1,1,1
48,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/48.png,1,1,1,1,1,1,1,1
49,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/49.png,1,0,1,1,1,1,1,1
50,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/50.png,1,1,1,1,1,1,1,1
51,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/51.bmp,1,1,1,1,1,1,1,1
52,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/52.png,1,1,1,1,1,1,1,1
53,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/53.png,1,1,1,1,1,1,1,1
54,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/54.png,1,0,1,1,1,1,1,1
55,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/55.png,1,1,1,1,1,1,1,1
56,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/56.png,1,0,1,1,1,1,1,1
57,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/1.jpg,1,1,1,0,1,1,1,1
58,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/2.jpg,1,1,1,1,1,1,1,1
59,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/3.jpg,1,1,0,1,1,1,1,1
60,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/4.jpg,1,1,1,0,0,1,1,1
61,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/5.jpg,0,1,0,0,1,1,1,1
62,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/6.jpg,0,0,1,1,1,1,1,1
63,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/7.jpg,1,1,1,0,0,1,1,1
64,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/8.jpg,0,1,1,0,0,1,0,1
65,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/9.jpg,0,1,1,0,1,1,1,1
66,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/10.jpg,0,1,1,0,1,1,1,1
67,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/11.jpg,0,1,0,1,1,1,1,1
68,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/12.jpg,1,1,1,0,0,1,1,1
69,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/13.jpg,1,1,1,1,1,1,1,1
70,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/14.jpg,1,1,1,1,1,1,1,1
71,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/15.jpg,1,1,0,0,0,1,1,1
72,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/16.jpg,0,1,1,1,0,1,1,1
73,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/17.png,1,1,1,1,1,1,0,1
74,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/18.png,1,1,1,1,1,1,1,1
75,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/19.png,1,1,1,1,1,1,0,1
76,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/20.png,1,1,1,1,1,1,1,1
77,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/21.png,1,0,1,1,1,1,0,1
78,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/22.png,1,1,1,1,1,1,1,1
79,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/23.png,1,1,1,0,1,1,1,1
80,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/24.png,1,1,1,1,1,0,1,1
81,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/25.png,1,1,1,1,1,0,1,1
82,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/26.png,1,1,1,1,1,1,1,1
83,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/27.png,1,1,1,1,1,1,1,1
84,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/28.png,1,1,1,1,1,1,1,1
85,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/29.png,1,1,1,1,1,0,1,1
86,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/30.png,1,1,1,1,1,0,1,1
87,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/31.png,1,1,1,1,1,0,1,0
88,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/32.png,1,1,1,1,1,0,1,1
89,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/33.jpg,1,1,1,1,1,0,1,1
90,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/34.jpg,1,1,1,1,1,1,1,1
91,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/35.jpg,1,1,1,1,1,1,1,1
92,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/36.jpg,1,0,1,1,1,1,1,1
93,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/37.jpg,0,1,1,1,1,1,1,1
94,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/38.jpg,1,1,1,1,1,0,1,1
95,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/39.jpg,0,1,1,1,1,1,1,1
96,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",hip/40.jpg,1,1,1,1,1,1,1,1
97,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/1.png,1,1,1,1,1,1,1,1
98,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/2.png,1,1,1,1,1,1,1,1
99,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/3.png,1,1,1,1,1,1,1,1
100,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/4.png,1,1,1,1,1,1,0,1
101,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/5.png,1,1,1,1,1,1,1,1
102,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/6.png,1,1,1,1,1,1,1,1
103,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/7.png,1,1,1,0,1,1,1,1
104,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/8.jpg,0,0,0,0,1,1,1,1
105,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",shoulder/9.jpg,1,1,1,1,1,1,1,1
